Reading training examples... (1250 examples) done
Training set properties: 500 features, 25 classes
Iter 296: *(NumConst=129, SV=106, CEps=0.7777, QPEps=0.3362)
Iter 297: *(NumConst=130, SV=107, CEps=0.8109, QPEps=0.3421)
Iter 298: *(NumConst=131, SV=108, CEps=0.6556, QPEps=0.3018)
Iter 299: *(NumConst=130, SV=106, CEps=0.6399, QPEps=0.2983)
Iter 300: *(NumConst=131, SV=108, CEps=0.6576, QPEps=0.2835)
Iter 301: *(NumConst=132, SV=108, CEps=0.6885, QPEps=0.3086)
Iter 302: *(NumConst=133, SV=109, CEps=0.5489, QPEps=0.2471)
Iter 303: *(NumConst=134, SV=109, CEps=0.5203, QPEps=0.2537)
Iter 304: *(NumConst=135, SV=110, CEps=0.5961, QPEps=0.2522)
Iter 305: *(NumConst=135, SV=110, CEps=0.5089, QPEps=0.2444)
Iter 306: *(NumConst=135, SV=110, CEps=0.5675, QPEps=0.2430)
Iter 307: *(NumConst=136, SV=110, CEps=0.5542, QPEps=0.2526)
Iter 308: *(NumConst=136, SV=111, CEps=0.5208, QPEps=0.2487)
Iter 309: *(NumConst=136, SV=112, CEps=0.4306, QPEps=0.2120)
Iter 310: *(NumConst=137, SV=112, CEps=0.3769, QPEps=0.1741)
Iter 311: *(NumConst=138, SV=113, CEps=0.4097, QPEps=0.1802)
Iter 312: *(NumConst=139, SV=113, CEps=0.3910, QPEps=0.1626)
Iter 313: *(NumConst=139, SV=114, CEps=0.4270, QPEps=0.1861)
Iter 314: *(NumConst=140, SV=115, CEps=0.3753, QPEps=0.1810)
Iter 315: *(NumConst=141, SV=117, CEps=0.3117, QPEps=0.1507)
Iter 316: *(NumConst=142, SV=118, CEps=0.3560, QPEps=0.1536)
Iter 317: *(NumConst=142, SV=119, CEps=0.3171, QPEps=0.1363)
Iter 318: *(NumConst=143, SV=118, CEps=0.3061, QPEps=0.1398)
Iter 319: *(NumConst=144, SV=119, CEps=0.3387, QPEps=0.1522)
Iter 320: *(NumConst=144, SV=119, CEps=0.3554, QPEps=0.1499)
Iter 321: *(NumConst=145, SV=120, CEps=0.3116, QPEps=0.1433)
Iter 322: *(NumConst=146, SV=121, CEps=0.3018, QPEps=0.1500)
Iter 323: *(NumConst=147, SV=122, CEps=0.2685, QPEps=0.1308)
Iter 324: *(NumConst=148, SV=123, CEps=0.2844, QPEps=0.1279)
Iter 325: *(NumConst=149, SV=124, CEps=0.2636, QPEps=0.1171)
Iter 326: *(NumConst=149, SV=125, CEps=0.2631, QPEps=0.1281)
Iter 327: *(NumConst=150, SV=125, CEps=0.2665, QPEps=0.1302)
Iter 328: *(NumConst=151, SV=126, CEps=0.2356, QPEps=0.1174)
Iter 329: *(NumConst=150, SV=126, CEps=0.2304, QPEps=0.1135)
Iter 330: *(NumConst=149, SV=127, CEps=0.2517, QPEps=0.1145)
Iter 331: *(NumConst=148, SV=128, CEps=0.2734, QPEps=0.1071)
Iter 332: *(NumConst=149, SV=129, CEps=0.2300, QPEps=0.1137)
Iter 333: *(NumConst=150, SV=129, CEps=0.1932, QPEps=0.0916)
Iter 334: *(NumConst=151, SV=131, CEps=0.2482, QPEps=0.0951)
Iter 335: *(NumConst=152, SV=130, CEps=0.2077, QPEps=0.0921)
Iter 336: *(NumConst=152, SV=131, CEps=0.2103, QPEps=0.0926)
Iter 337: *(NumConst=153, SV=131, CEps=0.2100, QPEps=0.0943)
Iter 338: *(NumConst=153, SV=132, CEps=0.1976, QPEps=0.0963)
Iter 339: *(NumConst=154, SV=133, CEps=0.1628, QPEps=0.0798)
Iter 340: *(NumConst=155, SV=133, CEps=0.2117, QPEps=0.0786)
Iter 341: *(NumConst=155, SV=134, CEps=0.1846, QPEps=0.0795)
Iter 342: *(NumConst=156, SV=135, CEps=0.1942, QPEps=0.0752)
Iter 343: *(NumConst=156, SV=135, CEps=0.1613, QPEps=0.0779)
Iter 344: *(NumConst=157, SV=136, CEps=0.1516, QPEps=0.0752)
Iter 345: *(NumConst=157, SV=136, CEps=0.1569, QPEps=0.0748)
